id,Summary,Status,Version,Owner,Type,Priority,Milestone,Component,Severity,Resolution,Created,Modified,Focuses,Reporter,Keywords
24579,Add Drag'n'Drop UI to plugin and theme manual uploaders,new,,,enhancement,high,Future Release,Upgrade/Install,normal,,06/14/2013 05:03:38 PM,04/12/2019 11:04:54 AM,,tw2113,ui-feedback ux-feedback needs-patch shiny-updates
30361,Correctly handle DB queries failing,assigned,,pento,task (blessed),high,,General,normal,,11/17/2014 12:10:55 PM,06/04/2019 07:42:28 PM,"ui, administration",pento,
32502,Cannot advance the cursor through input fields on iOS,new,,,defect (bug),high,,Administration,major,,05/26/2015 08:17:31 PM,06/04/2019 07:21:29 PM,,ryan,make-flow ios mobile mobile-abandonment
36441,"Customizer: when setting header image, site icon and logo, do not force the user to crop the image if cropping is not required",new,,,defect (bug),high,Future Release,Customize,normal,,04/07/2016 03:33:28 PM,01/14/2019 05:40:35 AM,,azaozz,needs-testing needs-patch
40439,Save progress of intermediate image creation after upload,assigned,,mikeschroder,enhancement,high,5.3,Media,normal,,04/13/2017 06:37:23 PM,06/27/2019 01:10:11 PM,ui,mikeschroder,has-patch needs-testing needs-unit-tests early
41292,Switch Travis CI environment to Trusty - PHP 5.2 & 5.3  no longer available Sept 2017,reopened,,jnylen0,defect (bug),high,Future Release,Build/Test Tools,normal,,07/12/2017 04:43:54 AM,09/17/2017 04:24:29 PM,,netweb,
41886,Code Editor: Auto scroll or click button to go to error.,assigned,,melchoyce,enhancement,high,Future Release,General,normal,,09/14/2017 09:55:26 PM,03/11/2019 10:56:50 AM,,paaljoachim,ux-feedback needs-patch ui-feedback
41973,HTTP Error when uploading images on PHP 7.1.7,reopened,,joemcgill,defect (bug),high,Awaiting Review,Media,normal,,09/25/2017 08:36:22 AM,02/21/2019 08:52:47 PM,,robhindle,reporter-feedback
42203,Ensure media & embeds in Text widget are styled properly across widget areas in bundled themes,assigned,,davidakennedy,task (blessed),high,Future Release,Bundled Theme,normal,,10/13/2017 03:11:37 AM,04/04/2019 07:05:44 PM,,westonruter,needs-patch
45407,Add block attributes to `wp_calculate_image_sizes` to allow for proper handling of `sizes` attribute,assigned,,joemcgill,defect (bug),high,5.3,Media,major,,11/23/2018 11:17:04 PM,03/21/2019 06:23:40 PM,,mor10,dev-feedback
45795,Twenty Nineteen: missing license information for assets,assigned,,williampatton,defect (bug),high,5.3,Bundled Theme,normal,,12/30/2018 02:54:22 PM,04/24/2019 04:44:48 AM,,poena,
45958,Errors displayed on shutdown handler,new,,,defect (bug),high,Awaiting Review,Bootstrap/Load,normal,,01/12/2019 01:59:04 PM,03/27/2019 01:44:15 PM,multisite,spacedmonkey,has-screenshots has-patch needs-testing
5235,Add Pre-flight checks to install,accepted,,pishmishy,enhancement,normal,Future Release,Upgrade/Install,normal,,10/19/2007 05:37:56 PM,07/02/2017 08:12:11 PM,,westi,needs-patch
6148,Internationalization of personal names,reopened,,,enhancement,normal,5.3,Users,normal,,03/10/2008 05:51:37 PM,06/16/2019 05:23:51 PM,ui,aradams,needs-patch 2nd-opinion needs-design-feedback
6393,Export & import blogroll with categories,new,,,enhancement,normal,Future Release,Import,normal,,03/26/2008 05:01:38 PM,03/15/2019 12:36:00 AM,,jayminkapish,needs-patch
6425,Support for RTL in feeds,assigned,,,enhancement,normal,Awaiting Review,Feeds,normal,,03/27/2008 08:56:51 PM,03/15/2019 12:35:46 AM,rtl,RanYanivHartstein,needs-refresh
7231,wp_link_pages: option  next_and_number,accepted,,sorich87,enhancement,normal,Future Release,"Posts, Post Types",normal,,07/03/2008 09:25:43 AM,03/15/2019 12:33:27 AM,template,jan831,has-patch needs-refresh needs-testing
7543,Import TypePad data using AtomPub.,accepted,,westi,enhancement,normal,WordPress.org,Import,normal,,08/19/2008 02:44:26 AM,03/15/2019 12:33:09 AM,,cavemonkey50,needs-review needs-testing
7756,AJAX saving method instead of reloading the page,new,,,enhancement,normal,Future Release,Editor,normal,,09/16/2008 05:36:44 PM,06/05/2019 07:06:47 AM,javascript,jdingman,needs-patch
7845,suggested wp-mail.php improvements,new,,,enhancement,normal,Future Release,Mail,normal,,10/08/2008 04:22:44 AM,03/15/2019 12:31:20 AM,,anthonycole,needs-patch
7965,Database upgrade complete message should be an admin notice,new,,,enhancement,normal,Future Release,Upgrade/Install,normal,,10/25/2008 06:53:28 PM,03/15/2019 12:31:03 AM,"ui, administration",westi,has-patch needs-refresh
8578,Blogger import incorrectly reports saved user information,new,,,defect (bug),normal,WordPress.org,Import,normal,,12/11/2008 04:53:52 PM,03/15/2019 12:30:30 AM,,covert215,needs-patch wporg-importer
8592,Private Pages not listed in the Parent dropdown,reopened,,SergeyBiryukov,defect (bug),normal,Future Release,"Posts, Post Types",critical,,12/12/2008 04:22:24 PM,05/16/2019 10:50:08 PM,administration,mtdewvirus,ux-feedback needs-testing has-patch
8593,HTTP_HOST being manipulated improperly for redirects,new,,markjaquith,defect (bug),normal,Awaiting Review,Canonical,normal,,12/12/2008 04:37:23 PM,03/15/2019 12:30:15 AM,,revmj,dev-feedback needs-refresh
8923,cron timeout is too short,reopened,,,defect (bug),normal,Future Release,Cron API,normal,,01/22/2009 11:50:57 PM,06/04/2019 06:13:33 PM,,hailin,needs-patch reporter-feedback dev-feedback
8994,Incorporate MediaRSS Plugin into core,new,,technosailor,feature request,normal,Future Release,Feeds,normal,,01/29/2009 06:00:20 PM,02/13/2019 08:23:25 PM,,technosailor,has-patch needs-refresh needs-unit-tests
9824,make better use of stubs when verbose rules should apply,reopened,,,task (blessed),normal,,Rewrite Rules,normal,,05/15/2009 01:03:56 AM,06/04/2019 09:05:28 PM,,Denis-de-Bernardy,needs-refresh needs-unit-tests
9930,is_serialized() returns false on serialized doubles,reopened,,westi,defect (bug),normal,Future Release,General,minor,,05/24/2009 05:23:43 PM,03/26/2019 01:12:29 PM,,vladimir_kolesnikov,needs-refresh dev-feedback needs-unit-tests
10219,"""Older Entries"" and ""Newer Entries"" links are wrong when entries displayed in ascending order",new,,,enhancement,normal,,"Posts, Post Types",normal,,06/19/2009 04:41:02 PM,06/04/2019 08:40:45 PM,template,jikamens,needs-testing has-patch
10364,Usability problem on the Widgets admin interface,reopened,,azaozz,enhancement,normal,,Widgets,normal,,07/09/2009 04:48:56 AM,06/05/2019 06:37:17 AM,,vteixeira,needs-patch
10483,Change post_name's length from 200 to 400,reviewing,,SergeyBiryukov,enhancement,normal,5.3,Permalinks,minor,,07/25/2009 06:31:52 AM,03/20/2019 01:12:29 PM,,elnur,dev-feedback needs-patch early
